序号,代码,名称,营业收入,同比增长,净利润,同比增长,基本每股收益,每股净资产,净资产收益率,公告日期
1,000972,ST中基,6.27亿,--,-4.30亿,--,-0.56,0.57,-65.48%,2019-04-16
2,000820,*ST节能,"1,289.55万",-99.02%,-7.01亿,-301.26%,-1.10,0.30,-129.45%,2019-04-16
3,000679,大连友谊,10.88亿,--,-4.15亿,--,-1.16,2.63,-36.28%,2019-04-16
4,000633,合金投资,1.11亿,--,489.29万,--,0.01,0.42,3.04%,2019-04-16
5,000415,渤海租赁,412.91亿,14.91%,22.79亿,-13.34%,0.37,5.78,6.80%,2019-04-16
6,000018,*ST神城,24.31亿,-62.58%,-17.36亿,-556.66%,-1.02,-0.12,-73.61%,2019-04-16
7,000996,中国中期,"6,654.89万",--,"1,518.47万",--,0.04,1.58,2.83%,2019-04-15
8,000971,*ST高升,9.01亿,--,-15.61亿,--,-1.51,2.41,-53.02%,2019-04-15
9,000939,*ST凯迪,24.09亿,--,-42.21亿,--,-1.02,0.38,-111.29%,2019-04-15
10,000925,众合科技,20.89亿,0.13%,"2,701.10万",-55.26%,0.05,4.26,1.16%,2019-04-15
11,000901,航天科技,58.01亿,-0.01%,1.57亿,-7.78%,0.26,6.50,4.04%,2019-04-15
12,001896,豫能控股,80.82亿,-7.75%,-6.60亿,"-1,333.62%",-0.57,4.95,-10.96%,2019-04-15
13,000885,城发环境,20.28亿,-57.04%,5.82亿,-3.38%,1.17,5.01,27.03%,2019-04-15
14,000835,长城动漫,"7,494.91万",-74.75%,-4.47亿,-449.11%,-1.37,0.11,-172.46%,2019-04-15
15,000821,京山轻机,22.49亿,46.36%,1.49亿,-2.64%,0.28,5.26,5.41%,2019-04-15
16,000806,ST银河,7.61亿,-27.20%,-6.99亿,"-6,949.80%",-0.64,1.27,-39.88%,2019-04-15
17,000792,*ST盐湖,178.90亿,--,-34.96亿,--,-1.25,6.00,-17.46%,2019-04-15
18,000752,*ST西发,3.23亿,--,-4.16亿,--,-1.58,1.40,-71.54%,2019-04-15
19,000711,京蓝科技,24.91亿,35.91%,1.03亿,-64.48%,0.12,4.96,2.40%,2019-04-15
20,000710,贝瑞基因,14.03亿,--,2.73亿,--,0.77,5.39,15.55%,2019-04-15
21,000673,当代东方,7.28亿,-11.19%,-14.96亿,"-1,464.06%",-1.88,0.83,-106.38%,2019-04-15
22,000625,长安汽车,662.98亿,-17.14%,6.54亿,-90.83%,0.14,9.63,1.40%,2019-04-15
23,000616,海航投资,2.70亿,179.09%,3.49亿,"2,682.66%",0.24,3.04,8.42%,2019-04-15
24,000611,*ST天首,"1,867.01万",-54.22%,"-7,091.76万",--,-0.21,2.06,-14.67%,2019-04-15
25,000606,顺利办,7.35亿,--,"9,328.25万",--,0.12,3.75,3.37%,2019-04-15
26,000595,宝塔实业,4.34亿,-2.57%,"-9,820.16万",-701.36%,-0.13,0.82,-14.86%,2019-04-15
